"Geneid","SRR1177963","SRR1177964","SRR1177965","SRR1177997","SRR1177999","SRR1178002","SRR1178014","SRR1178021","SRR1178047"
"111","NM_021666",0,0,0,0,0,0,0,0,0
"112","NM_001044295",9,6,8,11,4,8,7,4,6
"113","NM_198051",83,92,95,65,66,71,112,120,143
"114","NM_001100990",20,16,17,61,36,49,39,30,30
"115","NM_001024285",1,0,1,20,10,5,2,0,1
"116","NM_130428",3875,4181,3727,3985,5041,4757,3528,3099,3195
"117","NM_001107454",18,17,11,27,27,19,27,33,33
"118","NM_001107453",224,225,182,181,251,197,238,302,317
"119","NM_012694",0,1,0,1,1,2,2,2,3
"120","NM_133425",17,37,13,3,4,2,5,3,1
"121","NM_057103",0,1,0,2,2,1,0,1,0
"122","NM_001040128",561,565,619,543,569,521,571,557,602
"123","NM_001108462",14,12,22,5,5,8,69,120,254
"124","NM_001107459",1,0,0,1,0,0,0,0,1
"125","NM_139094",676,565,561,515,554,468,428,646,636
"126","NM_001012061",193,147,179,187,150,148,152,199,233
"127","NM_181474",159,169,153,95,118,83,199,205,256
"128","NM_001004216",0,0,0,0,0,0,0,0,0
"129","NM_001039343",15,15,6,24,23,23,24,17,21
"130","NM_001127560",1,2,1,3,4,6,1,0,1
"131","NM_001038615",19,23,15,14,28,19,29,15,46
"132","NM_019230",11,3,4,0,3,1,4,0,1
"133","NM_012756",1187,1124,1148,936,1026,912,1697,2204,2272
"134","NM_001115021",249,274,245,218,259,248,299,296,288
"135","NM_001077677",1,0,0,3,1,0,0,2,1
"136","NM_022236",1,1,0,0,3,2,4,1,4
"137","NM_001008302",222,212,176,200,236,197,293,271,316
"138","NM_057128",8,14,15,27,45,22,34,20,38
"139","NM_013217",865,841,854,867,1008,816,1073,1117,1439
"140","NM_001107464",337,230,195,24,16,10,121,245,185
"141","NM_001106215",52,31,37,67,63,76,58,39,51
"142","NM_001169138",58,53,40,122,93,115,66,42,89
"143","NM_001004198",85,94,80,85,75,90,102,124,145
"144","NM_133574",0,0,0,0,0,0,0,0,0
"145","NM_001106214",1,1,2,0,0,0,1,2,3
"146","NM_001113403",153,159,139,185,222,267,149,195,177
"147","NM_001135720",5,5,12,12,16,16,9,17,24
"148","NM_001169140",0,0,0,0,0,0,0,0,0
"149","NM_001099469",0,0,0,0,0,0,0,0,0
"150","NM_057140",1423,1518,1362,1638,1737,1566,2123,2360,2472
"151","NM_001107467",55,55,77,38,56,52,39,63,70
"152","NM_001099488",0,0,0,0,0,0,0,0,0
"153","NM_001099489",0,0,0,0,0,0,0,0,0
"154","NM_173318",0,0,0,0,0,0,0,0,0
"155","NM_001099656",0,0,0,0,0,0,0,0,0
"156","NM_001313942",2,1,3,2,1,1,5,3,4
"157","NM_001006968",3,3,11,7,9,4,3,5,11
"158","NM_001106220",0,0,0,0,0,0,0,0,0
"159","NM_001107473",0,1,1,2,1,1,1,1,0
"160","NM_001108465",33,28,20,32,44,59,65,53,78
"161","NM_001134545",11,1,7,11,11,9,6,8,11
"162","NM_001271115",1,1,0,1,1,3,0,0,3
"163","NM_139261",205,202,179,199,219,202,363,488,546
"164","NM_181479",0,2,1,1,1,1,0,2,0
"165","NM_001099496",0,0,0,0,0,0,0,0,0
"166","NM_001106225",5,1,1,2,2,3,2,3,4
"167","NM_001029928",1,0,1,2,1,2,1,0,2
"168","NM_173315",0,0,0,0,0,0,0,0,0
"169","NM_001025002",31,6,58,14,30,19,5,207,96
"170","NM_001108470",9,13,13,24,27,23,14,10,28
"171","NM_001024775",711,773,667,741,796,822,706,719,726
"172","NM_001025131",13,6,0,0,0,3,20,209,176
"173","NM_012695",719,797,444,479,684,752,1200,2934,2249
"174","NM_207591",629,636,625,569,634,590,906,1130,1158
"175","NM_001271132",1186,1211,1068,1531,1846,1504,1477,1380,1867
"176","NM_022952",494,476,414,516,612,492,580,619,684
"177","NM_001100830",559,651,550,580,659,603,755,755,1028
"178","NM_001106229",50,72,53,55,69,63,68,54,62
"179","NM_001012064",973,911,743,1450,1449,920,563,490,634
"180","NM_001169579",15,5,16,2,4,8,3,24,36
"181","NM_001172809",144,161,159,167,205,146,187,265,296
"182","NM_001135742",377,319,335,349,366,418,388,641,484
"183","NM_031508",13,8,10,23,18,19,32,49,103
"184","NM_053628",490,554,527,486,663,548,459,617,638
