"Geneid","SRR1177963","SRR1177964","SRR1177965","SRR1177997","SRR1177999","SRR1178002","SRR1178014","SRR1178021","SRR1178047"
"3855","NM_001025694",0,0,0,0,2,0,0,1,2
"3856","NM_031973",130,93,127,156,129,162,150,132,167
"3857","NM_001107818",254,215,159,201,200,172,238,301,391
"3858","NM_001109196",1125,1241,1052,1230,1440,1268,1989,2997,2981
"3859","NM_017010",0,0,0,0,0,0,0,0,0
"3860","NM_001134516",72,47,70,71,78,57,56,78,121
"3861","NM_001270603",0,0,0,0,0,0,0,0,0
"3862","NM_001100532",558,509,490,491,583,477,681,1010,1011
"3863","NM_001270606",0,0,0,0,0,0,0,0,0
"3864","NM_001270602",0,0,0,0,0,0,0,0,0
"3865","NR_130647",0,0,0,0,0,0,0,0,0
"3866","NM_001270608",0,0,0,0,0,0,0,0,0
"3867","NM_001303617",1,2,1,0,1,0,1,0,1
"3868","NM_001024309",99,67,76,125,114,156,100,100,122
"3869","NM_001270605",0,0,0,0,0,0,0,0,0
"3870","NM_001287423",0,0,0,0,0,0,0,0,0
"3871","NM_001107819",95,107,70,107,122,94,91,136,100
"3872","NM_001109195",0,2,0,2,3,1,2,0,0
"3873","NM_001270610",0,0,0,0,0,0,0,0,0
"3874","NM_001014053",0,0,0,0,0,0,0,0,0
"3875","NM_172030",19,13,13,26,29,22,55,53,113
"3876","NM_199491",2,0,3,7,4,6,6,4,5
"3877","NM_001106556",94,84,96,120,113,108,134,115,143
"3878","NM_013015",0,2,0,4,1,0,0,2,8
"3879","NM_024396",567,563,559,895,899,835,842,718,769
"3880","NM_001128138",437,480,380,535,737,599,354,228,151
"3881","NM_001013080",0,1,1,4,2,2,0,1,3
"3882","NM_001004231",168,131,190,136,128,97,184,241,425
"3883","NM_001025040",0,2,0,1,1,0,0,1,0
"3884","NM_001106557",686,757,632,680,871,762,945,1011,1183
"3885","NM_001107815",144,135,110,170,172,172,266,346,385
"3886","NM_001106558",252,243,216,202,285,232,333,342,400
"3887","NM_001106555",1615,1941,1477,3290,4375,3770,2006,1383,1277
"3888","NM_001108573",404,360,362,390,415,359,378,510,417
"3889","NM_145768",25,26,23,11,13,15,17,9,16
"3890","NM_001025730",924,863,853,1021,1108,957,1019,1050,999
"3891","NM_001109197",99,106,70,91,122,84,114,134,130
"3892","NM_001013163",77,53,49,42,81,71,32,52,49
"3893","NM_001135809",0,0,0,0,0,0,0,0,0
"3894","NM_001128139",0,0,0,0,0,0,0,0,0
"3895","NM_001128137",0,0,0,0,0,0,0,0,0
"3896","NM_024136",0,0,0,0,0,0,0,0,0
"3897","NM_001128183",0,0,0,0,0,0,0,0,0
"3898","NM_001001519",0,0,0,0,0,0,0,0,0
"3899","NM_173148",0,0,0,0,0,0,0,0,0
"3900","NM_001191852",0,0,0,0,0,0,0,0,0
"3901","NM_001106559",0,0,0,0,0,0,0,0,0
"3902","NM_001106560",0,0,0,0,0,0,0,0,0
"3903","NM_001168549",256,198,200,177,193,148,201,327,321
"3904","NM_001126295",286,261,272,296,329,322,387,506,405
"3905","NM_001100533",144,136,104,209,274,229,150,200,156
"3906","NM_001109434",217,166,164,79,86,95,261,469,436
"3907","NR_024073",0,0,0,0,0,0,2,0,0
"3908","NM_022303",16,21,23,35,28,30,22,31,46
"3909","NM_001130990",0,0,0,0,0,0,0,0,0
"3910","NM_001013135",324,349,287,306,298,316,269,363,403
"3911","NM_001145469",0,2,0,0,3,2,1,1,0
"3912","NM_144745",12,8,8,18,22,25,11,16,26
"3913","NM_053632",81,108,73,82,95,84,99,95,128
"3914","NM_001003673",1175,1272,1098,888,1095,955,1058,1254,1273
"3915","NM_001105721",254,284,288,420,434,383,347,319,372
"3916","NM_139104",163,194,134,205,292,217,191,208,260
"3917","NR_031871",0,0,0,0,0,0,0,0,0
"3918","NM_001014178",8,4,3,6,12,4,2,7,3
"3919","NR_037353",4,5,1,1,3,2,1,3,1
"3920","NM_001107821",720,666,566,628,713,704,594,534,506
"3921","NM_022945",0,0,0,0,0,0,0,0,0
"3922","NM_053574",0,0,0,0,0,0,0,0,0
"3923","NM_198770",105,140,110,91,81,90,167,191,270
"3924","NM_144738",3062,2985,3118,1875,1888,1702,2710,4430,3451
"3925","NM_001033565",382,288,351,336,465,400,330,217,227
"3926","NM_001013426",202,267,210,208,241,226,273,281,270
"3927","NM_057190",0,0,0,0,0,0,0,0,0
"3928","NM_001270627",0,0,0,0,0,0,0,0,0
"3929","NM_001270626",0,0,0,0,0,0,0,0,0
"3930","NR_073057",0,0,0,0,0,0,0,0,0
"3931","NM_001270628",0,0,0,0,0,0,0,0,0
"3932","NM_023094",27,1,2,62,99,35,52,79,0
"3933","NM_001271298",0,0,0,0,0,0,1,1,0
"3934","NM_001160263",14,5,2,9,17,9,13,20,12
"3935","NM_001015014",203,193,169,157,154,143,153,245,284
"3936","NM_001033884",505,673,609,383,435,449,589,544,843
"3937","NM_001033868",3702,4080,3395,6620,6786,6641,6836,7845,7845
"3938","NM_001077679",98,99,80,123,130,107,110,171,112
"3939","NM_001107822",0,0,2,0,0,0,0,1,1
"3940","NM_001033866",342,274,264,194,230,181,281,324,435
"3941","NM_172068",309,294,265,215,234,217,231,304,285
"3942","NM_001114391",164,175,179,129,116,104,87,308,328
"3943","NM_001134517",0,1,0,0,0,1,0,0,0
"3944","NM_001106561",217,214,177,254,271,216,264,248,266
"3945","NM_001106562",29,28,17,66,61,53,54,49,68
"3946","NM_013158",5,0,3,1,1,0,2,12,4
"3947","NM_053664",1916,1648,1810,3431,3950,3459,2106,2349,2042
"3948","NM_001108575",660,629,556,476,541,440,342,404,377
"3949","NR_106709",1,0,0,0,0,0,0,0,2
"3950","NM_001039034",449,469,391,355,319,331,493,621,793
"3951","NM_053634",7,3,11,21,15,8,35,15,47
"3952","NM_053573",3,5,1,6,3,3,5,1,7
"3953","NM_001108576",538,485,542,355,320,300,532,689,810
"3954","NM_001106564",0,0,0,0,0,0,0,0,0
"3955","NM_001079941",109,154,117,149,146,107,151,145,189
"3956","NM_019250",85,86,75,114,110,102,120,101,181
"3957","NM_016997",2,3,1,1,1,1,3,0,0
"3958","NM_181694",0,0,0,1,0,1,0,0,0
"3959","NM_021854",167,196,180,242,235,205,194,206,248
"3960","NM_001109473",247,252,229,195,204,180,199,257,257
"3961","NM_057109",0,0,0,0,1,0,0,0,1
"3962","NM_001107825",8,13,13,19,22,20,18,10,18
"3963","NM_001014257",39,47,43,49,48,42,57,59,67
"3964","NM_001137562",126,148,120,111,151,108,196,259,268
"3965","NR_031933",0,0,0,0,0,0,0,0,0
"3966","NM_001011962",19,34,22,21,23,18,11,16,9
"3967","NM_001145005",2,3,0,1,1,1,5,5,1
"3968","NM_017213",0,0,0,0,0,0,0,0,1
"3969","NM_001100706",92,114,90,141,161,143,150,163,186
"3970","NR_037382",0,0,0,0,1,0,0,0,0
"3971","NM_001025731",159,166,120,171,207,171,186,244,250
"3972","NM_171983",1810,1890,1519,1745,1979,1800,3882,4877,6762
"3973","NM_001005542",44,40,39,31,20,27,29,60,65
"3974","NM_001100707",619,755,615,873,1101,903,769,789,839
"3975","NM_001047861",157,178,119,93,93,95,146,169,276
"3976","NM_001013239",140,133,105,138,159,132,187,263,231
"3977","NM_001034938",38,57,72,62,49,49,74,61,63
"3978","NM_001047110",90,127,112,88,95,83,134,144,192
"3979","NM_001013164",669,987,940,618,828,781,552,773,404
"3980","NM_001107826",383,453,363,450,487,440,496,507,457
"3981","NM_001106566",635,622,567,219,313,242,387,439,382
"3982","NM_001009692",199,166,147,164,225,179,183,172,168
"3983","NM_001013081",1378,1208,1219,1555,1591,1538,1385,1199,1100
"3984","NM_001108577",1301,1409,1106,806,883,880,950,854,1004
"3985","NM_001106567",214,217,175,233,282,240,241,213,258
"3986","NM_001025041",7,5,7,14,10,12,7,7,13
"3987","NM_001004085",6875,9483,6889,185,295,230,414,492,348
"3988","NM_001100979",3,0,0,2,1,2,5,1,3
"3989","NM_001025019",163,159,138,141,116,106,234,287,346
"3990","NM_021583",0,0,0,0,0,0,0,0,0
"3991","NM_001105739",0,0,0,0,0,0,0,0,0
"3992","NM_001011963",137,133,107,181,156,167,182,185,169
"3993","NM_001039197",237,216,189,249,309,271,224,281,209
"3994","NM_001025003",152,148,138,121,152,150,253,281,333
"3995","NM_001107827",132,260,235,150,159,171,286,283,418
"3996","NM_153303",439,452,371,424,493,425,454,526,457
"3997","NM_024366",3,0,0,2,0,0,2,4,6
"3998","NM_001039337",320,327,349,271,260,256,349,508,542
"3999","NM_001108952",124,136,135,78,70,69,152,176,179
"4000","NM_198200",0,0,0,0,0,0,0,0,0
"4001","NM_001107829",1,0,0,0,0,1,0,0,0
"4002","NM_001108578",2,3,1,4,3,2,2,2,1
"4003","NM_001012349",28,20,22,43,59,36,35,44,33
"4004","NM_053406",324,315,242,336,359,352,422,534,579
"4005","NM_001107831",144,196,122,150,156,164,177,208,162
"4006","NM_130741",46,0,32,135,18,7,78,189,578
"4007","NM_001106568",233,248,253,204,299,257,249,305,417
"4008","NM_022596",520,605,472,609,843,662,658,966,966
"4009","NM_080689",30,12,12,35,30,22,17,15,22
"4010","NM_001107832",419,393,362,255,328,254,409,438,551
"4011","NM_145677",623,391,370,728,1814,1273,332,594,368
"4012","NM_001108579",81,40,75,89,110,112,93,98,105
"4013","NM_001007744",303,345,253,429,446,420,801,728,826
"4014","NM_001007743",562,550,504,437,376,406,556,680,809
"4015","NM_001100869",27,38,18,21,34,34,51,57,75
"4016","NM_001109885",117,80,110,123,163,156,118,96,136
"4017","NM_001109198",295,390,589,92,89,211,335,940,522
"4018","NM_053494",88,78,86,148,155,147,141,108,110
"4019","NM_133569",125,96,109,214,236,169,152,120,164
"4020","NM_001012094",444,425,361,497,562,487,394,452,448
"4021","NM_001106569",556,559,595,550,626,599,1084,1455,1458
"4022","NM_001024871",51,70,50,55,70,65,61,73,88
"4023","NM_001107835",1033,1043,967,723,727,603,703,962,806
"4024","NM_013083",9069,10405,10447,12416,13078,11265,15809,24461,33692
"4025","NM_001106570",20,16,13,60,116,113,206,308,126
"4026","NM_053589",691,901,711,616,802,770,728,611,737
"4027","NM_001011965",120,152,128,147,205,171,118,151,120
"4028","NM_001004080",99,70,76,93,97,115,81,68,89
"4029","NM_001037583",0,0,0,0,0,0,0,0,0
"4030","NM_001037366",0,0,0,0,0,0,0,0,0
"4031","NM_001047912",74,69,73,54,74,65,47,47,56
"4032","NM_001047862",721,830,735,643,788,684,653,768,681
"4033","NM_001107838",260,274,233,236,246,251,215,303,293
"4034","NM_001008354",366,371,320,302,285,316,328,280,302
"4035","NM_017043",207,147,198,334,380,417,245,199,332
"4036","NM_001000559",0,0,0,0,0,0,0,0,0
"4037","NM_001000831",0,0,0,0,0,0,0,0,0
"4038","NM_001000380",0,0,0,0,0,0,0,0,0
"4039","NM_001000830",0,0,0,0,0,0,0,0,0
"4040","NM_001000560",0,0,0,0,0,0,0,0,0
"4041","NM_001000379",0,0,0,0,0,0,0,0,0
"4042","NM_001000829",0,0,0,0,0,0,0,0,0
"4043","NM_001108316",280,270,243,246,282,300,323,460,561
"4044","NM_001001014",0,0,0,0,0,0,0,0,0
"4045","NM_001000381",0,0,0,0,0,0,0,0,0
"4046","NM_001000382",0,0,0,0,0,0,0,0,0
"4047","NM_001000383",0,0,0,0,0,0,0,0,0
"4048","NM_001000828",0,0,0,0,0,0,0,0,0
"4049","NM_001000384",0,0,0,0,0,0,0,0,0
"4050","NM_001000827",0,0,0,0,0,0,0,0,0
"4051","NM_001000385",0,0,0,0,0,0,0,0,0
"4052","NM_001000826",0,0,0,0,0,0,0,0,0
"4053","NM_020106",0,0,0,0,0,0,0,0,0
"4054","NM_001000969",0,0,0,0,0,0,0,0,0
"4055","NM_001000386",0,0,0,0,0,0,0,0,0
"4056","NM_001000387",0,0,0,0,0,0,0,0,0
"4057","NM_001000388",0,0,0,0,0,0,0,0,0
"4058","NM_001000825",0,0,0,0,0,0,0,0,0
"4059","NM_001000968",0,0,0,0,0,0,0,0,0
"4060","NM_001000389",0,0,0,0,0,0,0,0,0
"4061","NM_001000824",0,0,0,0,0,0,0,0,0
"4062","NM_001000390",0,0,0,0,0,0,0,0,0
"4063","NM_001000391",0,0,0,0,0,0,0,0,0
"4064","NM_001000392",0,0,0,0,0,0,0,0,0
"4065","NM_001000393",0,0,0,0,0,0,0,0,0
"4066","NM_001000823",0,0,0,0,0,0,0,0,0
"4067","NM_001000394",0,0,0,0,0,0,0,0,0
"4068","NM_001000395",0,0,0,0,0,0,0,0,0
"4069","NM_001000397",0,0,0,0,0,0,0,0,0
"4070","NM_022247",106,121,95,101,114,113,110,149,180
"4071","NM_001109554",1,0,0,1,1,0,1,0,1
"4072","NM_001108953",105,101,111,94,97,95,101,109,139
"4073","NM_001107840",53,45,76,49,72,62,42,61,47
"4074","NM_053416",584,580,553,502,549,457,606,629,844
"4075","NM_001135761",1,0,1,0,0,0,0,1,2
"4076","NM_001106571",16,27,28,65,56,59,31,31,33
"4077","NM_053532",2060,1983,1853,1145,1334,1244,1925,2064,2135
"4078","NM_001191099",1,1,1,0,0,1,0,3,1
"4079","NR_031900",0,0,1,0,0,0,0,0,0
"4080","NR_031898",0,0,0,0,0,0,0,0,0
"4081","NM_001107842",228,228,215,279,267,223,302,431,408
"4082","NM_001037767",239,247,214,195,242,244,271,293,439
"4083","NM_212511",1635,1663,1636,1295,1441,1337,2032,3301,3480
"4084","NM_133589",517,530,509,457,483,456,502,581,619
"4085","NR_132636",6,12,4,6,9,14,8,12,5
"4086","NM_199092",184,173,145,134,136,116,170,282,251
"4087","NM_031571",232,219,223,293,260,223,207,253,203
"4088","NM_001108581",61,81,75,81,67,63,64,79,111
"4089","NM_207607",31,27,20,24,19,19,8,18,23
"4090","NM_001004280",843,761,789,583,665,630,855,1082,1085
"4091","NM_001047951",0,0,0,0,1,2,0,0,0
"4092","NM_001013915",0,0,0,0,0,0,0,0,0
"4093","NM_001037649",59,22,33,61,61,48,56,65,115
"4094","NM_001034148",161,144,175,274,279,291,246,325,449
"4095","NM_053979",229,291,212,315,458,417,435,406,463
"4096","NM_001012085",158,137,115,141,166,125,179,212,223
"4097","NM_001106480",624,712,660,665,667,641,763,967,1011
"4098","NM_001044276",64,122,53,106,162,91,26,6,15
"4099","NM_019328",33,38,46,23,25,13,30,19,29
"4100","NM_031796",1,1,1,0,0,1,1,2,0
"4101","NM_001008311",0,0,0,0,0,0,0,0,0
"4102","NM_001012086",37,25,22,34,25,30,24,14,40
"4103","NM_139090",26,36,37,49,51,45,53,28,40
"4104","NR_003722",0,0,0,1,0,0,0,2,0
"4105","NM_001108582",0,0,0,0,0,0,1,0,0
"4106","NM_001014179",122,123,135,81,75,53,108,159,134
"4107","NM_001177816",2,1,0,0,2,3,1,1,0
"4108","NM_001013916",2154,2120,2454,3575,3816,3563,2402,1750,1259
"4109","NM_001164073",0,0,0,0,0,1,0,0,0
"4110","NM_145788",2,3,0,0,0,1,5,2,0
"4111","NM_001025689",461,463,447,415,373,387,648,806,901
"4112","NM_138850",1,0,1,1,0,1,0,1,1
"4113","NM_001106483",61,48,52,26,33,24,47,85,113
"4114","NM_001106484",59,85,79,78,149,104,37,66,47
"4115","NM_013119",0,0,0,0,0,0,0,0,0
"4116","NM_001015032",0,1,3,0,3,0,4,2,3
"4117","NM_001191737",189,101,102,155,168,150,172,208,215
"4118","NM_030875",0,0,0,0,0,0,0,2,1
"4119","NM_031686",5,7,5,13,9,13,3,7,8
"4120","NM_201989",2,5,2,7,4,4,4,12,2
"4121","NM_001108954",287,597,410,553,434,418,511,422,362
"4122","NR_133672",0,0,0,0,0,0,0,0,0
"4123","NM_001024260",108,102,130,226,264,224,355,424,418
"4124","NM_001009654",24,18,8,9,15,12,25,25,75
"4125","NM_130819",2,5,4,0,7,3,22,81,133
"4126","NM_001108583",53,46,59,26,52,43,79,67,75
"4127","NM_001191738",282,263,244,126,147,133,158,296,290
"4128","NM_031793",478,511,466,522,517,479,540,703,804
"4129","NM_057191",6,4,6,3,5,4,8,9,8
"4130","NM_001134504",17,26,13,18,14,15,11,21,20
"4131","NM_001114181",109,120,113,102,85,105,124,132,167
"4132","NM_031119",460,514,431,444,389,381,458,634,695
"4133","NM_001007642",216,199,192,231,194,204,234,345,336
"4134","NM_001106552",16,14,3,17,11,8,6,6,1
"4135","NM_001024311",1,3,2,1,3,3,0,2,1
"4136","NM_001007720",818,720,645,1289,1345,1163,1428,1888,1737
"4137","NM_001177688",72,90,82,66,70,82,93,91,94
"4138","NM_001011954",45,32,35,67,69,74,43,46,64
"4139","NM_053880",0,0,0,0,0,0,0,0,0
"4140","NM_001270625",0,0,0,0,0,0,0,0,0
"4141","NM_001270624",0,0,0,0,0,0,0,0,0
"4142","NM_001107812",131,143,154,79,58,65,142,101,120
"4143","NM_001191746",0,0,0,0,0,0,0,0,0
"4144","NM_001100531",1,0,0,0,0,0,1,1,0
"4145","NM_053826",626,654,617,681,966,715,575,556,462
"4146","NM_001025693",90,109,91,14,14,12,80,110,142
"4147","NM_001319645",65,56,42,33,42,27,0,57,61
"4148","NM_001191902",0,0,0,0,0,0,0,0,0
"4149","NM_001013162",316,322,274,182,233,197,174,214,195
"4150","NM_001007799",217,232,214,220,241,209,204,267,292
"4151","NM_001107811",321,336,321,368,491,334,442,385,349
"4152","NM_032083",5,9,21,12,26,20,3,14,6
"4153","NM_053756",4375,4856,3899,2818,3429,2994,3001,3371,3273
"4154","NM_001191903",0,0,0,0,0,0,0,0,0
"4155","NM_001271038",0,0,0,0,0,0,0,0,0
"4156","NM_001173469",0,0,0,0,0,0,0,0,0
"4157","NM_001107094",0,0,0,0,0,0,0,0,0
"4158","NM_001105886",0,0,0,0,0,0,0,0,0
"4159","NM_001105885",0,0,0,0,0,0,0,0,0
"4160","NM_001105884",0,0,0,0,0,0,0,0,0
"4161","NR_031815",0,0,0,0,0,0,0,0,0
"4162","NM_001008286",409,409,418,376,343,332,510,635,633
"4163","NM_198132",0,0,0,0,0,0,0,0,0
"4164","NM_001111295",0,0,0,0,0,0,0,0,0
"4165","NM_001111294",889,967,830,853,851,852,1106,1140,1396
"4166","NM_031789",1258,920,877,3179,2093,1778,2370,1700,2442
"4167","NM_053350",8,5,8,4,4,3,5,15,13
"4168","NM_001127607",56,52,49,53,59,59,26,60,65
"4169","NM_001029918",0,1,0,0,0,0,0,0,0
"4170","NM_001271494",22,24,28,18,16,18,17,19,22
"4171","NM_012840",0,0,0,0,0,0,0,0,0
"4172","NM_153306",197,227,199,206,244,242,232,219,271
"4173","NM_001106485",16,11,14,23,31,22,22,38,30
"4174","NM_001024780",149,212,161,168,189,141,145,82,98
"4175","NM_001126290",0,0,1,2,0,3,0,5,4
"4176","NM_001107737",37,22,30,52,39,50,30,53,57
"4177","NM_019218",0,0,0,0,0,0,0,0,0
"4178","NM_001107738",638,648,552,711,673,654,746,1015,898
"4179","NM_031618",1946,1974,1831,1783,1879,1802,2309,2654,2517
"4180","NM_001100527",14,14,32,15,40,30,19,30,29
"4181","NM_001107739",89,66,54,56,71,71,63,81,54
"4182","NM_001004229",195,190,161,158,144,131,197,283,272
"4183","NM_001010963",471,453,467,360,396,357,528,650,792
"4184","NM_017200",64,44,77,35,37,28,41,36,25
"4185","NM_001177321",105,107,153,128,135,114,160,121,137
"4186","NM_001321292",0,0,0,0,0,0,0,0,0
"4187","NM_001107740",1851,1879,1675,2212,2574,2415,2405,2880,3511
"4188","NM_001114939",2,3,2,0,1,1,1,0,0
"4189","NM_001007643",606,675,553,469,495,514,761,735,901
"4190","NM_199093",6103,5444,6811,10866,11223,10554,5553,6078,4681
"4191","NR_031876",0,0,0,0,0,0,0,0,0
"4192","NM_001039338",644,607,569,670,669,636,583,719,810
"4193","NR_037388",0,0,0,0,0,0,0,0,0
"4194","NM_001024369",2,0,3,0,1,2,1,3,1
"4195","NM_001191739",0,0,2,1,1,0,2,0,4
"4196","NM_001024755",152,139,207,225,290,244,226,202,408
"4197","NM_001009599",88,86,75,84,69,66,87,117,110
"4198","NM_001107742",344,198,200,444,571,477,764,918,643
"4199","NM_172074",283,247,264,161,206,186,249,398,334
"4200","NM_181380",36,23,20,147,283,214,111,83,87
"4201","NM_001106487",0,0,1,0,0,0,0,0,0
"4202","NM_001270621",0,0,0,0,0,0,0,0,0
"4203","NR_073054",3,7,6,6,6,3,7,13,10
"4204","NM_031121",938,891,863,774,856,794,1131,1454,1663
"4205","NM_031619",0,4,2,0,0,0,2,0,1
"4206","NM_031075",0,0,0,0,0,0,0,0,0
"4207","NM_031349",1,1,1,5,2,3,2,0,3
"4208","NM_001000688",0,0,0,0,0,0,0,0,0
"4209","NM_001000281",0,0,0,0,0,0,0,0,0
"4210","NM_001000282",0,0,0,0,0,0,0,0,0
"4211","NM_001000283",0,0,0,0,0,0,0,0,0
"4212","NM_001000284",0,0,0,0,0,0,0,0,0
"4213","NM_001000285",0,0,0,0,0,0,0,0,0
"4214","NM_001001123",0,0,0,0,0,0,0,0,0
"4215","NM_001001049",0,0,0,0,0,0,0,0,0
"4216","NM_001001050",0,0,0,0,0,0,0,0,0
"4217","NM_001000286",0,0,0,0,0,0,0,0,0
"4218","NM_001000287",0,0,0,0,0,0,0,0,0
"4219","NM_001000288",0,0,0,0,0,0,0,0,0
"4220","NM_001000289",0,0,0,0,0,0,0,0,0
"4221","NM_001000290",0,0,0,0,0,0,0,0,0
"4222","NM_001000291",0,0,0,0,0,0,0,0,0
"4223","NM_001000687",0,0,0,0,0,0,0,0,0
"4224","NM_001000292",0,0,0,0,0,0,0,0,0
"4225","NM_001000293",0,0,0,0,0,0,0,0,0
"4226","NM_001000294",0,0,0,0,0,0,0,0,0
"4227","NM_001000295",0,0,0,0,0,0,0,0,0
"4228","NM_001000934",0,0,0,0,0,0,0,0,0
"4229","NM_001000296",0,0,0,0,0,0,0,0,0
"4230","NM_001000297",0,0,0,0,0,0,0,0,0
"4231","NM_001000298",0,0,0,0,0,0,0,0,0
"4232","NM_001001124",0,0,0,0,0,0,0,0,0
"4233","NM_001000299",0,0,0,0,0,0,0,0,0
"4234","NM_001000300",0,0,0,0,0,0,0,0,0
"4235","NM_001001125",0,0,0,0,0,0,0,0,0
"4236","NM_001000301",0,0,0,0,0,0,0,0,0
"4237","NM_001000302",0,0,0,0,0,0,0,0,0
"4238","NM_001000686",0,0,0,0,0,0,0,0,0
"4239","NM_001000303",0,0,0,0,0,0,0,0,0
"4240","NM_001000304",0,0,0,0,0,0,0,0,0
"4241","NM_001000305",0,0,0,0,0,0,0,0,0
"4242","NM_001000685",0,0,0,0,0,0,0,0,0
"4243","NM_001000684",0,0,0,0,0,0,0,0,0
"4244","NM_001000561",0,0,0,0,0,0,0,0,0
"4245","NM_001000683",0,0,0,0,0,0,0,0,0
"4246","NM_001000306",0,0,0,0,0,0,0,0,0
"4247","NM_001000307",0,0,0,0,0,0,0,0,0
"4248","NM_001000682",0,0,0,0,0,0,0,0,0
"4249","NM_001000308",0,0,0,0,0,0,0,0,0
"4250","NM_001000933",0,0,0,0,0,0,0,0,0
"4251","NM_001000932",0,0,0,0,0,0,0,0,0
"4252","NM_001000309",0,0,0,0,0,0,0,0,0
"4253","NM_001000310",0,0,0,0,0,0,0,0,0
"4254","NM_001000681",0,0,0,0,0,0,0,0,0
"4255","NM_001000931",0,0,0,0,0,0,0,0,0
"4256","NM_001000680",0,0,0,0,0,0,0,0,0
"4257","NM_001000311",0,0,0,0,0,0,0,0,0
"4258","NM_001000679",0,0,0,0,0,0,0,0,0
"4259","NM_001000678",0,0,0,0,0,0,0,0,0
"4260","NM_001000677",0,0,0,0,0,0,0,0,0
"4261","NM_001000312",0,0,0,0,0,0,0,0,0
"4262","NM_001000313",0,0,0,0,0,0,0,0,0
"4263","NM_001000314",0,0,0,0,0,0,0,0,0
"4264","NM_001000315",0,0,0,0,0,0,0,0,0
"4265","NM_001000316",0,0,0,0,0,0,0,0,0
"4266","NM_001000317",0,0,0,0,0,0,0,0,0
"4267","NM_001000676",0,0,0,0,0,0,0,0,0
"4268","NM_001000318",0,0,0,0,0,0,0,0,0
"4269","NM_001000930",0,0,0,0,0,0,0,0,0
"4270","NM_001000562",0,0,0,0,0,0,0,0,0
"4271","NM_001001375",0,0,0,0,0,0,0,0,0
"4272","NM_001000675",0,0,0,0,0,0,0,0,0
"4273","NM_001000319",0,0,0,0,0,0,0,0,0
"4274","NM_001000674",0,0,0,0,0,0,0,0,0
"4275","NM_001001376",0,0,0,0,0,0,0,0,0
"4276","NM_001001051",0,0,0,0,0,0,0,0,0
"4277","NM_001000563",0,0,0,0,0,0,0,0,0
"4278","NM_001000673",0,0,0,0,0,0,0,0,0
"4279","NM_001000672",0,0,0,0,0,0,0,0,0
"4280","NM_001000564",0,0,0,0,0,0,0,0,0
"4281","NM_001000671",0,0,0,0,0,0,0,0,0
"4282","NM_001000320",0,0,0,0,0,0,0,0,0
"4283","NM_001000321",0,0,0,0,0,0,0,0,0
"4284","NM_001000565",0,0,0,0,0,0,0,0,0
"4285","NM_001000566",0,0,0,0,0,0,0,0,0
"4286","NM_001001052",0,0,0,0,0,0,0,0,0
"4287","NM_001001053",0,0,0,0,0,0,0,0,0
"4288","NM_001001054",0,0,0,0,0,0,0,0,0
"4289","NM_001000322",0,0,0,0,0,0,0,0,0
"4290","NM_001000670",0,0,0,0,0,0,0,0,0
"4291","NM_001001055",0,0,0,0,0,0,0,0,0
"4292","NM_001000323",0,0,0,0,0,0,0,0,0
"4293","NM_001001377",0,0,0,0,0,0,0,0,0
"4294","NM_001000929",0,0,0,0,0,0,0,0,0
"4295","NM_001000669",0,0,0,0,0,0,0,0,0
"4296","NM_001000324",0,0,0,0,0,0,0,0,0
"4297","NM_001000668",0,0,0,0,0,0,0,0,0
"4298","NM_001000325",0,0,0,0,0,0,0,0,0
"4299","NM_001000511",0,0,0,0,0,0,0,0,0
"4300","NM_001000667",0,0,0,0,0,0,0,0,0
"4301","NM_001000666",0,0,0,0,0,0,0,0,0
"4302","NM_001000665",0,0,0,0,0,0,0,0,0
"4303","NM_001109342",0,0,0,0,0,0,0,0,0
"4304","NM_001000326",0,0,0,0,0,0,0,0,0
"4305","NM_001000664",0,0,0,0,0,0,0,0,0
"4306","NM_001000327",0,0,0,0,0,0,0,0,0
"4307","NM_001000328",0,0,0,0,0,0,0,0,0
"4308","NM_001000567",0,0,0,0,0,0,0,0,0
"4309","NM_001000568",0,0,0,0,0,0,0,0,0
"4310","NM_001000663",0,0,0,0,0,0,0,0,0
"4311","NM_001000662",0,0,0,0,0,0,0,0,0
"4312","NM_001000928",0,0,0,0,0,0,0,0,0
"4313","NM_001000661",0,0,0,0,0,0,0,0,0
"4314","NM_001000660",0,0,0,0,0,0,0,0,0
"4315","NM_001000659",0,0,0,0,0,0,0,0,0
"4316","NM_001000329",0,0,0,0,0,0,0,0,0
"4317","NM_001000658",0,0,0,0,0,0,0,0,0
"4318","NM_001000330",0,0,0,0,0,0,0,0,0
"4319","NM_001000657",0,0,0,0,0,0,0,0,0
"4320","NM_001006596",0,0,0,0,0,0,0,0,0
"4321","NM_001001056",0,0,0,0,0,0,0,0,0
"4322","NM_001000331",0,0,0,0,0,0,0,0,0
"4323","NM_001000332",0,0,0,0,0,0,0,0,0
"4324","NM_001000512",0,0,0,0,0,0,0,0,0
"4325","NM_001000333",0,0,0,0,0,0,0,0,0
"4326","NM_001000656",0,0,0,0,0,0,0,0,0
"4327","NM_001000927",0,0,0,0,0,0,0,0,0
"4328","NM_001000334",0,0,0,0,0,0,0,0,0
"4329","NM_001000655",0,0,0,0,0,0,0,0,0
"4330","NM_001000335",0,0,0,0,0,0,0,0,0
"4331","NM_001000336",0,0,0,0,0,0,0,0,0
