"","SRR1177963","SRR1177964","SRR1177965","SRR1178030","SRR1178040","SRR1178056"
"NM_001008368",784.48901693777,820.61012947254,797.899618231662,1015.01741168774,1106.17129432217,1161.37997916458
"NM_001106284",24.5556693934393,14.0384314528739,25.2411127032863,8.13641211773741,7.38925380308731,11.5478122928296
"NM_001039611",442.002049081907,446.677364409625,478.178857323368,251.550741306715,239.411823220029,267.249370205485
"NM_001012742",80.1290264417492,81.6781466349029,81.3324742661448,96.9589110697041,64.2865080868596,162.494215834817
"NM_001105731",9.04682556600394,5.10488416468143,4.20685211721439,4.0682060588687,7.38925380308731,6.59874988161692
"NM_001024899",23.263265741153,31.905526029259,25.2411127032863,22.3751333237779,22.1677614092619,26.3949995264677
"NM_013070",772.857384067194,906.116939230954,1009.64450813145,728.208884537498,1151.245742521,1019.50685670981
"NM_001108458",5.16961460914511,8.93354728819251,9.81598827350023,4.74624040201349,11.8228060849397,14.8471872336381
"NM_001107515",73.6670081803178,39.5628522762811,54.689077523787,10.8485494903165,2.95570152123492,13.1974997632338
"NM_080894",16.8012474797216,12.7622104117036,15.4251244297861,16.9508585786196,25.1234629304968,20.6210933800529
"NM_001190999",47.8189351345922,63.8110520585179,42.0685211721438,84.0762585499532,58.3751050443897,65.9874988161692
"NM_012689",32.3100913071569,17.867094576385,30.8502488595722,120.690113079772,25.1234629304968,51.1403115825312
"NM_020093",43.9417241777334,51.0488416468143,42.0685211721438,48.8184727064245,55.4194035231548,37.1179680840952
"NM_001101008",95.6378702691845,99.5452412112879,105.17130293036,84.754292893098,79.8039410733429,74.2359361681904
"NM_133406",23.263265741153,22.9719787410664,33.6548169377151,36.6138545298183,31.0348659729667,28.0446869968719
"NM_001106231",12.9240365228628,5.10488416468143,7.01142019535731,17.6288929217644,15.5174329864833,21.445937115255
"NM_031139",744.424503716896,792.533266566792,722.176280121803,931.619187480933,973.164725866598,1089.61857420199
"NM_001039037",111.14671409662,102.097683293629,106.573586969431,69.8375373439128,56.1583289034635,52.7899990529354
"NM_053557",204.199777061232,172.289840557998,180.894641040219,118.656010050337,186.2091958378,253.227026707049
"NM_031013",7657.49163979619,7955.96197065601,7472.77164421182,10340.7017673011,8476.95196290176,8989.14702623265
"NM_001127504",974.472353823853,980.137759618835,957.759998685808,1611.00959931201,1332.28246069664,1036.82857514906
"NM_001106268",69.789797223459,96.9927991289472,102.366734852217,88.1444646088219,103.449553243222,115.478122928296
"NM_001106271",807.752282678923,1259.63016763514,1114.81581106181,1112.65435710059,1564.30503011358,1083.84466805558
