"","SRR1177997","SRR1177999","SRR1178002","SRR1178030","SRR1178040","SRR1178056"
"NM_001008368",903.607056422866,946.72488542615,902.365098215636,1048.77432922758,1130.69227376492,1197.2947083443
"NM_001106284",6.68348414513954,1.21530794021329,2.66971922549005,8.40700865112292,7.55305460096809,11.9049189750144
"NM_001039611",221.891673618633,244.276895982871,205.568380362734,259.91668413055,244.718969071366,275.513839136047
"NM_001012742",41.4376016998652,46.1817017281049,57.398963348036,100.183519759215,65.7115750284224,167.51921700556
"NM_001105731",8.02018097416745,7.29184764127972,8.00915767647015,4.20350432556146,7.55305460096809,6.80281084286536
"NM_001024899",16.0403619483349,21.8755429238392,37.3760691568607,23.119273790588,22.6591638029043,27.2112433714615
"NM_013070",705.775925726736,802.103240540769,640.732614117612,752.427274275501,1176.76590683083,1051.0342752227
"NM_001108458",6.68348414513954,10.9377714619196,17.3531749656853,4.9040883798217,12.0848873615489,15.3063243964471
"NM_001107515",20.0504524354186,15.7990032227727,12.0137365147052,11.2093448681639,3.02122184038724,13.6056216857307
"NM_080894",16.0403619483349,26.7367746846923,16.0183153529403,17.5146013565061,25.6803856432915,21.2587838839543
"NM_001190999",50.7944795030605,85.07155581493,58.7338229607811,86.8724227282702,59.6691313476479,68.0281084286536
"NM_012689",172.4338909446,117.884870200689,138.825399725483,124.703961658323,25.6803856432915,52.7217840322066
"NM_020093",57.4779636482001,78.9950161138636,50.7246652843109,50.4420519067375,56.6479095072607,38.2658109911177
"NM_001101008",90.8953843738978,53.4735493693846,78.7567171519564,87.5730067825304,81.5729896904554,76.5316219822354
"NM_133406",33.4174207256977,30.3826985053322,22.6926134166654,37.8315389300531,31.722829324066,28.9119460821778
"NM_001106231",10.6935746322233,7.29184764127972,16.0183153529403,18.2151854107663,15.861414662033,22.1091352393124
"NM_031139",999.849228112876,844.639018448234,929.062290470537,962.602490553574,994.737290947498,1123.31414042814
"NM_001039037",61.4880541352838,64.4113208313042,58.7338229607811,72.160157588805,57.4032149673575,54.4224867429229
"NM_053557",101.588959006121,93.578711396423,106.788769019602,122.602209495543,190.336975944396,261.057866094958
"NM_031013",9233.90169492479,10898.8816078328,9960.72243030337,10684.607411523,8664.86423823059,9267.12907069334
"NM_001127504",1284.56565269582,1339.26935011504,1270.78635133326,1664.58771292234,1361.81574455455,1068.89165368522
"NM_001106268",81.5385065707024,96.0093272768496,81.4264363774465,91.0759270538316,105.742764413553,119.049189750144
"NM_001106271",1121.48863955442,1259.05902606096,1242.75429946562,1149.65843304106,1598.98165902494,1117.36168094064
"NM_177481",21.3871492644465,21.8755429238392,41.3806479950957,20.3169375735471,20.3932474226138,8.5035135535817
"NM_031238",342.194388231145,311.118832694601,323.036026284296,322.268664959712,418.439224893632,403.916893795131
"NM_053554",1419.57203242764,1498.47469028298,1356.21736654894,1434.09555907072,1593.69452080427,1468.55679070356
"NM_001013896",2049.15623889978,2354.05148019314,2461.48112590182,1497.14812395414,2900.37296677175,3177.76301497348
"NM_001107536",294.07330238614,301.396369172895,300.34341286763,213.678136549374,328.557875142112,347.793704341492
"NM_001024751",109.609139980289,91.1480955159965,97.4447517303868,84.0700865112292,126.136011836167,93.5386490893988
"NM_172067",38.7642080418093,23.0908508640524,38.7109287696057,39.2327070385736,27.9463020235819,21.2587838839543
"NM_001107542",1986.33148793547,2119.49704773197,1962.24363073519,2108.05741926907,2204.73663802259,2441.35874123331
"NM_012713",25.3972397515303,18.2296191031993,25.3623326421555,37.1309548757929,34.7440511644532,28.0615947268196
"NM_001172305",33.4174207256977,29.1673905651189,50.7246652843109,51.1426359609978,39.2758839250341,22.9594865946706
"NM_001013193",525.321853807968,506.78341106894,607.361123798986,484.804165548088,580.829898814446,591.844543329287
"NM_001106300",645.62456842048,676.9265226988,650.076631406827,638.932657485342,750.773627336228,686.233543774044
"NM_001108923",284.716424582945,367.022997944412,304.347991705866,236.797410339962,337.621540663274,394.563028886191
"NM_201350",81.5385065707024,87.5021716953566,82.7612959901915,96.6805994879136,67.9774914087128,43.3679191232667
"NM_032073",16.0403619483349,18.2296191031993,9.34401728921517,14.7122651394651,15.1061092019362,20.4084325285961
"NM_134380",3947.26573611941,3339.66621970611,3166.2870014312,3390.82682261958,3064.27425161275,2512.78825508339
"NM_053823",209.861402157382,192.018654553699,141.495118950973,160.433748425596,150.305786559265,74.830919271519
"NM_001100975",519.975066491856,551.749804856832,465.866004848013,479.900077168267,577.053371513962,553.578732338169
"NM_001024974",106.935746322233,128.822641662608,124.141943985287,134.512138417967,156.348230240039,150.512189898396
"NM_001013152",2085.24705328354,2073.31534600387,2138.44509961753,2338.54957312069,2243.25721648752,2944.76674360534
"NM_001107585",481.210858450047,538.381417514486,443.173391431348,532.443881237785,606.510284457738,596.096300106078
"NM_053773",499.924614056438,631.960128910909,480.549460588209,683.069452903737,543.064625809606,659.87265175794
"NM_001037793",842.119002287582,866.514561372073,882.342204024461,933.878544328904,1061.95947689611,886.066112283214
"NM_013155",30.7440270676419,49.8276255487447,44.0503672205858,54.645556232299,27.9463020235819,20.4084325285961
"NM_001354115",70.8449319384792,76.564400233437,97.4447517303868,92.4770951623521,81.5729896904554,56.1231894536393
"NM_133400",1289.91244001193,1191.00178140902,966.438359627398,1092.21054059172,1992.49580373538,1679.44392683239
"NM_017365",705.775925726736,652.620363894535,642.067473730357,619.316303966055,387.471701029663,394.563028886191
"NM_017158",4701.16274769115,7297.92418098078,9922.01150153377,4431.19414319604,3645.1041504272,3860.59515332609
"NM_001007148",185.800859234879,182.296191031993,237.605011068614,152.026739774473,191.092281404493,156.464649385903
"NM_001107606",137.679773389875,211.463581597112,198.894082299009,237.497994394222,249.250801831947,193.880109021663
"NM_001191052",589.483301601308,504.352795188514,503.242074004874,549.257898540031,543.819931269703,515.312921347051
"NM_001047087",3240.15311356365,3124.55671428836,2928.68199036258,3179.25043823298,4920.05976707061,5517.92994491917
"NM_001108457",173.770587773628,125.176717841968,149.504276627443,149.224403557432,183.539226803525,211.737487484184
"NM_030843",28.0706334095861,27.9520826249056,14.6834557401953,23.119273790588,15.861414662033,10.204216264298
"NM_001108901",18.7137556063907,34.028622325972,16.0183153529403,16.8140173022458,21.1485528827107,6.80281084286536
"NM_001107470",252.635700686275,255.21466744479,236.270151455869,284.437126029659,298.34565673824,282.316649978913
"NM_001276762",6.68348414513954,8.507155581493,5.3394384509801,1.40116810852049,3.02122184038724,1.70070271071634
"NM_214458",44.110995357921,61.9807049508776,45.3852268333308,21.7181056820675,39.2758839250341,35.7147569250432
"NM_001134425",57.4779636482001,51.042933488958,42.7155076078408,43.4362113641351,597.446618936576,667.525813956164
"NM_024137",56.1412668191722,65.6266287715175,54.729244122546,67.2560692089833,148.039870178975,127.552703303726
"NM_001106264",179.11737508974,185.942114852633,205.568380362734,198.265287355649,231.123470789624,210.036784773468
"NM_001277694",118.966017783484,74.1337843530105,114.797926696072,84.7706705654894,138.976204657813,163.267460228769
"NM_001106270",18.7137556063907,38.8898540868252,24.0274730294104,11.2093448681639,27.1909965634851,22.1091352393124
"NM_001002277",89.5586875448699,78.9950161138636,97.4447517303868,81.9683343484485,96.6790988923916,97.7904058661896
"NM_001029902",695.082351094512,629.529513030482,618.040000700946,741.918513461598,591.404175255802,454.937975116621
"NM_001170575",215.208189473493,235.769740401378,204.233520749989,191.960030867307,170.699033981879,255.105406607451
"NM_001195606",989.155653480652,1144.82007968092,911.709115504852,1261.7518817227,761.347903777583,801.030976747397
"NM_001001801",48.1210858450047,38.8898540868252,57.398963348036,35.7297867672724,33.9887457043564,39.966513701834
"NM_019370",1525.17108192084,1474.16853147872,1475.01987208325,2576.74815156917,932.802243219559,1068.89165368522
"NM_053535",1602.69949800446,1717.23011952137,1592.48751800481,1593.12813938779,1385.23021381755,1409.03219582849
"NM_021869",511.954885517689,565.118192199178,543.287862387225,569.574836113578,540.043403969219,545.075218784587
"NM_001107451",199.167827525158,193.233962493913,169.527170818618,135.913306526487,146.529259258781,98.6407572215478
"NM_001044295",14.703665119307,4.86123176085315,10.6788769019602,11.2093448681639,4.53183276058085,4.25175677679085
"NM_198051",86.8852938868141,80.2103240540769,94.7750325048967,80.567166239928,97.4344043524884,98.6407572215478
"NM_001100990",81.5385065707024,43.7510858476783,65.4081210245062,46.2385475811761,52.8713822067766,67.1777570732955
"NM_130428",5326.73686367622,6126.36732661518,6349.92717782808,5758.10034196494,4315.81539899317,4829.14534707905
"NM_001107454",36.0908143837535,32.8133143857587,25.3623326421555,30.8256983874507,31.722829324066,45.9189731893412
"NM_001107453",241.942126054051,305.042292993535,262.96734371077,204.570543843991,215.262056127591,221.091352393124
"NM_001040128",725.826378162154,691.51021798136,695.461858240158,665.554851547231,452.427970597989,467.693245446994
"NM_001108462",6.68348414513954,6.07653970106643,10.6788769019602,21.0175216278073,16.6167201221298,13.6056216857307
"NM_139094",688.398866949373,673.280598878161,624.714298764671,613.711631531973,771.166874758842,758.513408979488
"NM_001012061",249.962307028219,182.296191031993,197.559222686264,196.864119247128,209.219612446816,194.730460377021
"NM_181474",126.986198757651,143.406336945168,110.793347857837,176.547181673581,107.253375333747,140.307973634098
"NM_001039343",32.0807238966698,27.9520826249056,30.7017710931356,30.8256983874507,33.2334402442596,20.4084325285961
"NM_012756",1251.14823197012,1246.90594665883,1217.39196682346,1498.54929206266,1867.87040281941,1579.10246690012
"NM_001115021",291.399908728084,314.764756515241,331.045183960766,369.908380649408,455.449192438376,357.99792060579
"NM_001008302",267.339365805582,286.812673890336,262.96734371077,238.899162502743,364.812537226759,361.399326027223
"NM_057128",36.0908143837535,54.6888573095979,29.3669114803905,47.6397156896965,25.6803856432915,22.1091352393124
"NM_013217",1158.9161507672,1225.03040373499,1089.24544399994,1332.51087120298,1275.71092210351,1273.82633032654
"NM_001107464",32.0807238966698,19.4449270434126,13.3485961274502,39.9332910928339,104.987458953456,92.6882977340406
"NM_001106215",89.5586875448699,76.564400233437,101.449330568622,75.6630778601063,31.722829324066,39.1161623464758
"NM_001169138",163.077013141405,113.023638439836,153.508855465678,138.715642743528,111.785208094328,99.491108576906
"NM_001004198",113.619230467372,91.1480955159965,120.137365147052,111.392864627379,129.912539136651,106.293919419771
"NM_001113403",247.288913370163,269.79836272735,356.407516602921,334.879177936396,324.026042381531,278.91524455748
"NM_001135720",16.0403619483349,19.4449270434126,21.3577538039204,11.2093448681639,17.3720255822266,16.1566757518052
"NM_057140",2189.50940594771,2110.98989215048,2090.39015355871,2108.05741926907,1618.61960098746,1636.92635906448
"NM_001107467",50.7944795030605,68.057244651944,69.4126998627413,70.7589894802846,43.8077166856149,48.4700272554157
"NM_001313942",2.67339365805582,1.21530794021329,1.33485961274502,4.9040883798217,7.55305460096809,6.80281084286536
"NM_001006968",9.35687780319536,10.9377714619196,5.3394384509801,8.40700865112292,6.04244368077447,2.55105406607451
"NM_001108465",42.7742985288931,53.4735493693846,78.7567171519564,28.0233621704097,61.9350477279383,73.9805679161608
"NM_001134545",14.703665119307,13.3683873423461,12.0137365147052,13.3110970309446,9.06366552116171,13.6056216857307
"NM_139261",266.002668976554,266.15243890671,269.641641774495,346.78910685882,373.120897287824,352.895812473641
"NM_001106225",2.67339365805582,2.43061588042657,4.00457883823507,5.60467243408195,3.02122184038724,5.10210813214902
"NM_001025002",18.7137556063907,36.4592382063986,25.3623326421555,10.5087608139036,27.1909965634851,23.8098379500288
