"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001008368",947.59457496941,-0.419913776927836,0.130840083738448,0.000669511804678406,0.00516962952691374
"NM_001039611",354.178367591188,0.81353455413544,0.150836445442481,1.31560837490223e-08,4.74292534610657e-07
"NM_001107515",32.4867814591952,2.43541956219242,0.537785173221876,3.2793944012848e-07,8.30701272440561e-06
"NM_031139",875.589422992503,-0.373165645232781,0.139246123517356,0.00415966845137641,0.02171951450909
"NM_001039037",83.1006416099985,0.737001310457862,0.244408547552663,0.000509396945902036,0.00416145393624378
"NM_031238",287.075616277635,-0.796896644341551,0.207944128800874,2.32191003309511e-05,0.000316618580436011
"NM_012713",22.6019104081479,-1.0642557472879,0.468315524488195,0.0021809640395683,0.0129424287359326
"NM_001013152",1864.51248237836,-0.872848759654197,0.167002586314574,2.84930693472173e-08,9.43486807255977e-07
"NM_013155",165.905515403052,3.07129684972754,0.364144558586612,2.12141057677034e-18,3.79804405464832e-16
"NM_017365",627.401116685302,0.731597858886257,0.230618389701245,0.000308964576638949,0.00276107683844097
"NM_017158",1969.8892349859,-5.689819266925,0.274148393997118,7.62927379247431e-97,2.6862673023302e-93
"NM_001007148",198.546317332131,0.474091583025409,0.19091995612092,0.00530019127760528,0.0261861180848197
"NM_001107606",167.259137824934,-0.865821564538374,0.237321807940526,4.13646893420571e-05,0.000512233544572273
"NM_001191052",459.783709370728,-0.353645141288087,0.142068409384258,0.00757087538011619,0.0342929488165383
"NM_001276762",12.215948865114,3.20935876542203,0.718579990245894,6.90504700302872e-07,1.54857773870472e-05
"NM_024137",178.870899131513,0.996867082516877,0.332490701118628,0.000306134630979104,0.00274274818238531
"NM_001277694",182.238091252461,0.778360150374459,0.313819054040743,0.00212760630098694,0.0127248626677886
"NM_001029902",424.547480123342,-1.02710453152924,0.229576986641216,9.48376483135964e-07,2.05280753921418e-05
"NM_001001801",51.8057558345078,0.805689744219269,0.291325103477954,0.000910755074228577,0.00655334185904391
"NM_053535",1116.46725279489,-0.777619330015711,0.135378592674172,1.90360079469731e-09,8.24087507966707e-08
"NM_001100990",38.6240227864667,-1.01826176434845,0.366512594901845,0.00060426222347162,0.00475620109279487
"NM_001107453",242.483830037546,0.374873774114244,0.160664159746085,0.0108458419464655,0.0448920957995748
"NM_001040128",642.421690088788,0.50735426862436,0.210684861456936,0.0057987252154245,0.0280200981017973
"NM_181474",174.602378238986,0.526692551463789,0.234889617208824,0.00824122563142949,0.0365151285003313
"NM_001107464",205.630468411298,1.98976262534789,0.385280781234637,1.47107907521636e-08,5.26746043102047e-07
"NM_001169138",89.8014936374164,-0.656482813779125,0.263979919880288,0.00295037485600112,0.0165858486449919
"NM_001113403",251.203755849794,-0.561814186884034,0.173145996743893,0.000386681703280925,0.00332344900875216
"NM_139261",302.785754977825,-0.391772577019835,0.149878787507174,0.00476611884993827,0.0241878973787686
"NM_012695",496.640973448436,2.45535922546985,0.51525423441042,1.01633815591619e-07,2.94125477834047e-06
"NM_001271132",1795.74057575339,-0.410668758298986,0.124833266159643,0.000513709357147214,0.00418696908915588
"NM_031508",22.028654890546,-0.829171804247705,0.47816255499482,0.00980987691303649,0.0417156722352675
"NM_001098240",486.972549035753,0.404799520169084,0.141148077782298,0.00216697132369022,0.012902885057576
"NM_001100821",24.3401486033705,1.15706498095964,0.463964151241246,0.00104314265473614,0.00729374470134256
"NM_023098",1704.33824020771,-1.45297583409062,0.206864809784421,1.84534835041924e-13,1.74039416298914e-11
