"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001107464",50.4138824746439,-1.58642813165502,0.527243047966434,9.42066820671544e-05,0.00984422253447158
"NM_012695",483.154960426499,2.35026839827447,0.508023046857849,1.61389909122349e-07,6.21178232361271e-05
"NM_053524",558.784759469889,-0.98100406720162,0.402208433692827,0.000510914755999997,0.0264340326475858
"NM_017198",207.389568743422,0.599305269144635,0.213249367415576,0.00027930724895547,0.0187144508782284
"NM_001106373",3915.46458641739,-0.790996439813936,0.347148979486355,0.000859186472106625,0.0371865566662373
"NM_001106265",1526.20889143044,0.906644398865704,0.186911321381477,6.65190817893373e-08,2.86750457777475e-05
"NM_001100825",67.3064660965008,1.33190664297144,0.261750682355487,1.79325186545942e-08,9.66293767702806e-06
"NM_001013144",1022.00976745438,-0.373363096397807,0.127025180262794,0.000352736034286899,0.02120247131289
"NM_001025639",14.9736765339517,-2.47420110912947,0.835755376891582,0.000146651873934335,0.0129546495523798
"NM_001277243",117.72469022195,0.64574126240489,0.238326930827553,0.000343359560265819,0.0211450627484842
"NM_131903",10383.1614192193,-0.740469230937829,0.343417940931499,0.00116451563266783,0.0443950162125176
"NM_012824",33.5736381862938,1.13505840085685,0.421757189452274,0.000267198857638784,0.0182253296757796
"NM_012782",2475.96210253963,0.345838542776036,0.133619587913679,0.00112867368116611,0.0443950162125176
"NM_001134844",1378.15697144194,-0.0347186346676494,0.153504477054274,8.95996422265641e-05,0.00984422253447158
"NM_012692",7559.69102389776,0.622380562188664,0.124971321647612,4.70865947112549e-08,2.11438429667998e-05
"NM_001107496",215.015944555558,0.609921533303514,0.188951707449176,7.47819453890443e-05,0.0089547225050859
"NM_022594",5855.46520685971,-0.0617962259661035,0.166911603603093,0.000614060693468832,0.0303533925620949
"NM_001100802",183.198726999439,-0.948260857642434,0.227294022470064,1.52322411423491e-06,0.000400385031197797
"NM_001013148",202.241787840807,-0.656665013402733,0.222570287770201,0.000168844917888438,0.0140712759175804
"NM_130752",194.122045713394,-0.045950051697541,0.158079950124765,0.000351524463526732,0.02120247131289
"NM_001170562",41.6977280434725,1.9883837461548,0.360298005515038,1.76373916466267e-09,1.1879885610981e-06
"NM_053487",1535.53865363015,-0.0902594967457139,0.191610418716893,0.000230786184586087,0.0163630441531859
"NM_172033",696.229369107871,-1.3038037134304,0.450510652088337,0.000129088089229991,0.0118904473301847
"NM_134449",1411.18580377618,0.736728121064347,0.269140875685182,0.000286941968815704,0.0189716171651954
"NM_147135",519.736575550354,0.684199545339041,0.264765395502593,0.000461088484121601,0.0247221422556144
"NM_001012137",749.239275003833,0.494412041414557,0.160979154177269,0.00015770411652515,0.0136801058563269
"NM_001191840",40.5993641696686,0.846555544239093,0.395766393934738,0.00114705696105277,0.0443950162125176
