"","SRR1178014","SRR1178021","SRR1178047","SRR1178064","SRR1178074","SRR1178075"
"NM_001008368",1834.61554151235,1676.47540747187,1641.50082474798,1505.69968730649,1615.21017261858,1733.60505481539
"NM_001106284",32.3076950706578,45.8489112626076,38.1322094244554,7.27781803746423,16.531350351906,12.4293977982667
"NM_001039611",600.000051312216,689.727099863576,671.853213668976,407.557810097997,430.787541523198,420.823896884173
"NM_001012742",295.384640646014,440.548234305926,759.012549496302,272.109529956302,280.060523608761,214.259142998693
"NM_001105731",11.5384625252349,1.9934309244612,7.26327798561055,8.49078771037494,17.9899989123683,14.205026055162
"NM_001024899",55.3846201211277,51.8292040359912,74.4485993525081,51.3490494865532,64.180536660341,49.7175911930668
"NM_013070",962.307774604593,1114.32788677381,962.384333093397,1501.25213183915,1177.61560447989,1229.91850594277
"NM_001108458",16.1538475353289,7.97372369784481,25.4214729496369,15.3642825235356,26.2556740883213,44.9825825080129
"NM_001107515",214.61540296937,267.119743877801,259.662187985577,42.8582617761783,14.586485604623,49.7175911930668
"NM_080894",20.7692325454229,29.901463866918,16.3423754676237,45.2842011219997,49.5940510557181,51.4932194499621
"NM_001190999",154.615397838148,147.513888410129,138.0022817266,126.553169207017,137.112964683456,155.66341052115
"NM_012689",90.0000076968325,87.7109606762929,87.1593358273266,356.208760611444,192.541609981023,301.26492758656
"NM_020093",110.769240242255,143.527026561207,119.844086762574,103.911068646017,107.453777287389,85.8220324166035
"NM_001101008",212.307710464323,213.297108917349,199.74014460429,150.003916216624,215.87998694842,150.928401836096
"NM_133406",60.0000051312216,57.8094968093749,72.6327798561055,59.8398371969281,80.2256708254263,55.0444759637526
"NM_001106231",25.3846175555169,25.9146020179956,59.922043381287,28.3026257012498,22.852160780576,37.8800694804319
"NM_031139",1726.15399377515,1385.43449250054,1488.97198705016,1938.72986053561,1625.90692872864,1870.32843059632
"NM_001039037",133.846165292725,149.50731933459,254.214729496369,148.790946543713,159.478909277211,139.090880123461
